id,标题,作者,来源,时间,邮箱
6,改进蚁群算法的火灾环境疏散路径规划研究,杜云;刘小雨;贾科进;丁力;黄公发,计算机工程与应用,2024-01-05 21:02,
7,一种基于双重语义协作网络的图像描述方法,江泽涛;朱文才;金鑫;廖培期;黄景帆,计算机研究与发展,2024-01-05 21:00,
8,基于增强嵌入特征超图学习的恶意域名检测方法,魏金侠;龙春;付豪;宫良一;赵静;,计算机研究与发展,2024-01-05 20:59,
9,知识图谱补全方法研究综述,张文豪;徐贞顺;刘纳;王振彪;唐增金;,计算机工程与应用,2024-01-05 20:42,
10,微反应器内阳离子聚合研究进展,何宇航;谢丹;吕阳成,化工学报,2024-01-05 19:16,
11,考虑转移时间的多目标双资源柔性作业车间节能调度,魏光艳;叶春明,计算机集成制造系统,2024-01-05 19:09,
12,面向非平行语料的语音转换技术综述,李鹏程;张旭龙;王健宗;程宁;肖京,大数据,2024-01-05 18:20,
13,沙尘图像视觉增强技术综述,司亚中;张旭龙;杨帆;王健宗;程宁;,大数据,2024-01-05 17:41,
14,内蒙古光伏开发空间适宜性及减排效益研究,徐伟;刘振领,干旱区地理,2024-01-05 17:33,
15,InternDiffuseDet:结合可变形卷积和扩散模型的目标检测方法,袁志祥;高永奇,计算机工程与应用,2024-01-05 17:29,
16,MBRNet:融合残差连接的多分支手写字符识别网络,李钢;陈太兵;杨之博;范屹;张玲,计算机工程与应用,2024-01-05 17:29,
17,碳纤维复合材料超声振动辅助钻孔工艺参数多目标优化方法,秦国华;赖晓春;金杨杨;王华敏,计算机集成制造系统,2024-01-05 16:32,
18,分布式异构混合流水车间生产与运输集成调度,李颖俐;刘翱;邓旭东,计算机集成制造系统,2024-01-05 16:00,
19,在局部坐标系下的平面线段距离求解算法,张航城;刘懿;代凯;宋天琦;王乐;,计算机辅助设计与图形学学报,2024-01-05 15:27,
20,基于神经网络的无人直升机多故障容错控制设计,阎坤;赵金泽;陈超波;高嵩;曹凯,北京航空航天大学学报,2024-01-05 14:35,
21,x86处理器向量条件访存指令安全脆弱性分析,李丹萍;朱子元;史岗;孟丹,计算机学报,2024-01-05 14:08,
22,高分子材料与工程专业“互联网+人文素养”教学改革研究,廖云;王孟;曾科;单德才,高教学刊,2024-01-05,
23,基于百度飞桨平台的计算机视觉课程改革与实践,潘刚;丁进;孙迪,高教学刊,2024-01-05,
24,数字生命的伦理反思——以“流浪地球”系列科幻电影为例,许伟,视听,2024-01-05,
25,计算机网络的运行及维护策略研究,马康白,网络安全技术与应用,2024-01-05,
26,论数据加密技术在计算机网络安全中的应用,李荣;夏天勇;张琪;扈莎莎,网络安全技术与应用,2024-01-05,
27,大数据在计算机网络安全防范中的应用分析,金晶;郭文强,网络安全技术与应用,2024-01-05,
28,基于云计算的计算机网络安全存储系统设计,蒋广慧;尹智鹏,网络安全技术与应用,2024-01-05,
29,基于计算思维的高中信息技术项目教学模式研究,张长水,天津师范大学学报(基础教育版),2024-01-05,
30,基于BP神经网络的云南花卉物流需求预测,贺梦桐;张凌,物流科技,2024-01-05,
31,时标上的Clifford值概周期函数与动力方程的Clifford值概周期解,赵莉莉,河北师范大学学报(自然科学版),2024-01-05,
32,公共场所火灾防控技术研究综述,王宇诗;孙海洋;郝新宇;胡钰童;金佩剑,石材,2024-01-05,
